,classifier,mean_accuracy,std_accuracy,degree,precision,specifity,sensitivity
0,SVC,0.8529411764705884,0.023916385665139005,4,0.8733552631578947,0.8627450980392157,0.8441971383147854
1,SVC,0.8302521008403362,0.036590825306012154,3,0.8564273789649416,0.8467023172905526,0.8155802861685215
2,SVC,0.8285714285714286,0.039629667638828886,2,0.8547579298831386,0.8449197860962567,0.8139904610492846
3,SVC,0.8243697478991597,0.034586748953372576,1,0.8398058252427184,0.8235294117647058,0.8251192368839427
